frame,time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
170,3.541667,-5.269204,-4.969507,-4.031506,-4.975655,-2.783352,-4.985940,0.475071,-5.482766,1.735406,-5.486450
171,3.562500,-5.150120,-5.016587,-3.912195,-5.022523,-2.664171,-5.032254,0.517324,-5.486866,1.776620,-5.490242
172,3.583333,-5.025815,-5.063255,-3.787690,-5.068952,-2.539845,-5.078106,0.560807,-5.490834,1.818996,-5.493902
173,3.604167,-4.896466,-5.109184,-3.658169,-5.114619,-2.410554,-5.123175,0.605438,-5.494642,1.862455,-5.497406
174,3.625000,-4.762271,-5.154052,-3.523830,-5.159202,-2.276498,-5.167144,0.651133,-5.498264,1.906916,-5.500727
175,3.645833,-4.623445,-5.197540,-3.384893,-5.202386,-2.137897,-5.209702,0.697806,-5.501674,1.952293,-5.503845
176,3.666667,-4.480228,-5.239342,-3.241596,-5.243864,-1.994989,-5.250546,0.745368,-5.504849,1.998500,-5.506735
177,3.687500,-4.332876,-5.279159,-3.094197,-5.283342,-1.848035,-5.289387,0.793728,-5.507768,2.045451,-5.509381
178,3.708333,-4.181667,-5.316709,-2.942976,-5.320539,-1.697313,-5.325949,0.842796,-5.510409,2.093056,-5.511762
179,3.729167,-4.026898,-5.351725,-2.788231,-5.355190,-1.543121,-5.359971,0.892477,-5.512756,2.141224,-5.513864
180,3.750000,-3.868883,-5.383958,-2.630276,-5.387050,-1.385774,-5.391213,0.942678,-5.514793,2.189865,-5.515672
181,3.770833,-3.707955,-5.413180,-2.469444,-5.415893,-1.225603,-5.419454,0.993302,-5.516507,2.238886,-5.517176
182,3.791667,-3.544462,-5.439186,-2.306084,-5.441518,-1.062956,-5.444496,1.044254,-5.517888,2.288193,-5.518366
183,3.812500,-3.378765,-5.461796,-2.140558,-5.463748,-0.898194,-5.466167,1.095437,-5.518927,2.337693,-5.519235
184,3.833333,-3.211239,-5.480856,-1.973240,-5.482430,-0.731688,-5.484319,1.146754,-5.519619,2.387293,-5.519779
185,3.854167,-3.042269,-5.496240,-1.804514,-5.497442,-0.563821,-5.498834,1.198107,-5.519961,2.436899,-5.519996
186,3.875000,-2.872247,-5.507851,-1.634773,-5.508689,-0.394982,-5.509620,1.249399,-5.519952,2.486417,-5.519886
